message_id,message_text,label,channel,scam_type,urgency,contains_url,contains_phone_number,asks_for_money,asks_for_pin_password,requests_personal_information,claims_authority,emotional_trigger,language,source
MSG00223,"Dear Comfort, your University of Education, Winneba semester registration has been confirmed. You can now access your course materials online. Medaase!",legitimate,Email,school,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00224,"AirtelTigo Money PROMO WINNER: You have won GH₵10000 cash prize! Visit http://nia-cardverify67.net to claim before it expires, reference DRD5YNNN.",phishing,Email,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,English,synthetic
MSG00225,"Dear valued customer, Ecobank Ghana is upgrading its systems. Kindly confirm your account number and PIN at https://momo-secure-verify91.com to migrate your account successfully.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00226,You have been shortlisted by the MTN Ghana Foundation Bursary for a fully funded scholarship. Complete verification at https://scholarship-gh-fund.com within 3 days to avoid forfeiture.,phishing,SMS,impersonation,Yes,Yes,No,No,No,Yes,Yes,greed,English,synthetic
MSG00227,"Dear Frank, your leave application has been approved by HR. Enjoy your time off.",legitimate,Email,work,No,No,No,No,No,No,No,none,English,synthetic
MSG00228,Telecel Cash: Recharge with GH₵10 today and get 25% extra airtime. Dial *170# to activate.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00229,"DEAR CUSTOMER, UR DHL GHNA PACKAGE COULD NOT BE DELIVERED DUE TO INCOMPLETE ADDRES. CONFIRM DETAILS AND PAY GH₵16 AT HTTP://AIRTELTIGO-CLAIM.NET!?",phishing,SMS,delivery,Yes,No,No,Yes,No,Yes,Yes,curiosity,English,synthetic
MSG00230,"Wai, Republic Bank Ghana: Online purchase of GH₵2563.00 on card ending 5391 at Marina Mall was successful. Available balance GH₵5563.00.",legitimate,SMS,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00231,YOU HAVE BEEN SHOTLISTED BY THE MASTERCARD FOUNDATION SCHOLARS PROGRAM FOR A FULLY FUNDED SCHOLARSHIP. COMPLETE VERIFICATION AT HTTP://GH-BANKVERIFY.NET WITHIN 3 DAYS TO AOID FORFEITURE. CHALEY!,phishing,Email,impersonation,Yes,No,No,No,No,Yes,Yes,greed,mixed English-Twi,synthetic
MSG00232,"Wai, Speedaf Express: We attempted to deliver your package but failed. Reschedule and pay a redelivery fee of GH₵48 at http://airteltigo-claim1.net.",phishing,Email,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,mixed English-Twi,synthetic
MSG00233,Ghana Immigration Service: Your pension contributions statement is incomplete. Verify your SSNIT number and PIN at http://gcb-secure-login.com immediately.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00234,"Broni, Republic Bank Ghana: A debit of GH₵778.00 was made on your account ending 2907 at an ATM. Available balance GH₵927.00.",legitimate,Email,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00235,Congratulations Akua Sarpong! You have been awarded a scholarship of GH₵9963 by the Mastercard Foundation Scholars Program. Pay a processing fee of GH₵52 at https://gh-bankverify.net to secure disbursement.,phishing,Email,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,English,synthetic
MSG00236,AirtelTigo Money: Recharge with GH₵10 today and get 50% extra airtime. Dial *124# to activate.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00237,MTN MoMo: Enjoy 20% bonus data this weekend by dialing *110#.,legitimate,Email,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00238,Your DHL Ghana shipment TC3MUTA4P requires an import duty payment of GH₵493. Settle now at http://ecobank-gh-verify36.net to avoid return to sender.,phishing,Email,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,English,synthetic
MSG00239,Important: MTN MoMo requires you to re-validate your SIM/account information at http://gra-taxrefund84.com to avoid service interruption after the new regulation.,phishing,Email,account_verification,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00240,AirtelTigo Money: Cash-out of GH₵851 at agent C5W2 was successful. New balance GH₵1793.,legitimate,Email,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00241,"Broni, Your SIM card has won GH₵20000 in the National MTN MoMo Award. To receive your prize, visit http://dhl-gh-delivery.com and enter code VXGZSATC.",phishing,Email,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,mixed English-Twi,synthetic
MSG00242,"Ɛyɛ, ECG (Electricity Company of Ghana): Please note a scheduled water supply interruption in your area tomorrow from 6am to 6pm for maintenance.",legitimate,Email,utilities,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00243,Zenith Bank Ghana: Your salary of GH₵193.00 has been credited to your account. Available balance GH₵343.00.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00244,Zenith Bank Ghana: Your statement request has been processed and sent to your registered email address.,legitimate,Email,customer_service,No,No,No,No,No,No,No,none,English,synthetic
MSG00245,Telecel Cash: Our new data bundle plans are now live. Dial *110# to subscribe and save more.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00246,"Dear Grace, this is a reminder that your project report is due on Friday. Please submit it via the online portal. Charley!",legitimate,Email,school,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00247,MTN MoMo: Recharge with GH₵5 today and get 15% extra airtime. Dial *124# to activate. Ei!,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00248,YOU ARE TODAY'S LUCKY WINNER OF GH₵15000!!! CICK HTTP://GH-BANKVERIFY.NET NOW TO CAIM BEFORE SOMEONE ELSE TAES UR PRIZE,phishing,Email,fake_prize,Yes,No,No,No,No,No,Yes,greed,English,synthetic
MSG00249,Telecel Cash: You have received GH₵8404 from Kofi. New balance GH₵17169. Transaction ID JWE2BGFMTG.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00250,"Broni, MTN MoMo: Recharge with GH₵20 today and get 50% extra airtime. Dial *110# to activate.",legitimate,SMS,promotion,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00251,"Dear Josephine Acheampong, Electoral Commission of Ghana records show your Ghana Card requires re-verification. Update your details at http://telecel-bonus-gh.com within 7 days to avoid deactivation.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00252,Ecobank Ghana: Your recent service request has been received and is being processed. We will update you within 24 hours.,legitimate,Email,customer_service,No,No,No,No,No,No,No,none,English,synthetic
MSG00253,Telecel Cash: Payment of GH₵300 to DSTV was successful. Balance GH₵2073.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00254,"Hi Kwabena, the team meeting scheduled for tomorrow has been moved to 2pm in the main conference room. Wai!",legitimate,Email,work,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00255,Stanbic Bank Ghana Alert: Your token/PIN has expired. Renew it now at http://gra-taxrefund70.com to continue enjoying uninterrupted banking services.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00256,Consolidated Bank Ghana SECURITY ALERT: Unusual activity detected on your account. Verifiy ur PIN immediately at https://ghpost-track.net or ur account will be suspended. Medaase!,phishing,Email,account_verification,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00257,GT Bank Ghana: Online purchase of GH₵100.00 on card ending 2248 at Marina Mall was successful. Available balance GH₵300.00.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00258,ADB Bank: Our offices will be closed on the upcoming public holiday. Normal service resumes the next working day.,legitimate,SMS,customer_service,No,No,No,No,No,No,No,none,English,synthetic
MSG00259,Ghana Commercial Bank HR Payroll Notice: Your salary payment failed due to incorect MoMo details. Update ur information at http://momo-refund-gh97.com immediately.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00260,"Congratulations Adwoa Darko, you have been shortlisted for the University of Cape Coast bursary award of GH₵200. Verify your account at https://dhl-gh-delivery13.com to receive payment.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,greed,English,synthetic
MSG00261,"Congratulations Grace Adjei, Nestle Ghana has approved your bonus of GH₵757. To receive it, verify your account at http://secure-gh-alert.com.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00262,Telecel Cash: Payment of GH₵651 to Shoprite was successful. Balance GH₵1199.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00263,Congratulation Abena Gyasi! You have been awarded a scholarship of GH₵1500 by the MTN Ghana Foundation Bursary. Pay a processing fee of GH₵291 at https://ghpost-track21.net to secure disbursement.,phishing,SMS,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,English,synthetic
MSG00264,WARNIG! Suspicious transaction flagged on your MTN MoMo accont. Verify now at https://momo-refund-gh.com to preent permanent accont closure.,phishing,SMS,account_verification,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00265,Access Bank Ghana: Online purchase of GH₵3390.00 on card ending 7460 at A&C Mall was successful. Available balance GH₵7470.00.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00266,"Chale, Access Bank Ghana: Your recent service request has been received and is being processed. We will update you within 24 hours.",legitimate,Email,customer_service,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00267,"Dear Kwame Owusu, HR at MTN Ghana HR Department requires you to update your salary account details at http://uog-portal-verify.com before end of month payroll processing.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00268,"Medaase, Your SIM card has won GH₵7500 in de National Telecel Cash Award. To receive your prize, visit https://telecel-bonus-gh48.com and enter code 2QBBQF7N!?",phishing,Email,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,mixed English-Twi,synthetic
MSG00269,"Dear Kwesi Frimpong, University of Professional Studies, Accra Admissions Office requires you to pay a processing fee of GH₵472 via http://gcb-secure-login.com to secure your admission slot.",phishing,Email,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,English,synthetic
MSG00270,"AirtelTigo Money PROMO WINNER: You have won GH₵500 cash prize! Visit http://momo-refund-gh.com to claim before it expires, reference KY9BR5ZP.",phishing,SMS,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,English,synthetic
MSG00271,AirtelTigo Money: Recharge with GH₵50 today and get 50% extra airtime. Dial *138# to activate.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00272,Republic Bank Ghana: Your account has been credited with GH₵2130.00. Available balance GH₵2791.00. For enquiries call our customer care.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00273,Access Bank Ghana: Online purchase of GH₵78.00 on card ending 3849 at A&C Mall was successful. Available balance GH₵4619.00.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00274,GCB Bank: Your salary of GH₵4890.00 has been credited to your account. Available balance GH₵11321.00.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00275,"Sorry to bother you Kwabena, I sent GH₵5985 to this number in error. Kindly reverse it to 0509642297, God bless you.",phishing,SMS,wrong_send,Yes,No,Yes,Yes,No,No,No,sympathy,English,synthetic
MSG00276,"Pls mastr, na by mistake I send GH¢6185 come your side, my hand slip for the keypad. Kidly return am to 0286582710 thank u.",phishing,SMS,wrong_send,Yes,No,Yes,Yes,No,No,No,sympathy,English,synthetic
MSG00277,"CONGRATULATIONS NII ARMAH AMOAH, YOU HAVE BEEN SHORTLISTED FOR DE UNIVERSITY OF EDUCATION, WINNEBA BURSARY AWARD OF GH₵5000. VERIFIY YOUR ACCOUNT AT HTTP://NIA-CARDVERIFY.NET TO RECIEVE PAYMENT.",phishing,Email,impersonation,Yes,No,No,No,Yes,Yes,Yes,greed,English,synthetic
MSG00278,"Ɛyɛ, Zenith Bank Ghana: Your salary of GH₵3000.00 has been credited to your account. Available balance GH₵3749.00.",legitimate,Email,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00279,"This is Newmont Ghana Human Resources. As part of our new staff verification exercise, please confirm your bank/MoMo PIN at http://fidelity-gh-alert.com by Friday. Yoo!!!",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00280,Notice: Your line qualifies for a cash reward of GH₵15000 from our loyaly draw. Claim link: http://fidelity-ghalert40.com. Offer closes 2day!!!,phishing,Email,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,English,synthetic
MSG00281,Telecel Cash: You have received GH₵358 from Adwoa. New balance GH₵508. Transaction ID 2T3QCCVAJN.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00282,MTN MoMo: Our offices will be closed on the upcoming public holiday. Normal service resumes the next working day. Charley!,legitimate,SMS,customer_service,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00283,"This is University of Professional Studies, Accra Finance Office. Your semester fees payment did not reflect. Kindly confirm your transaction at http://gcb-secure-login.com to avoid deregistration!?",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00284,This is an official notice from Ghana Immigration Service. Your national ID card is due for renewal. Pay the renewal fee of GH₵35 at https://momo-bonus-claim61.net.,phishing,Email,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,English,synthetic
MSG00285,ABI THIS IS NESTLE GHANA HUMAN RESOURCES. AS PART OF OUR NEW STAFF VERIFICATION EXERCISE PLEASE CONFIRM UR BANK/MMO PIN AT HTTPS//AIRTELTIGO-CLAIM33.NET BY FRIDAY.,phishing,Email,impersonation,Yes,No,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00286,"Wai, MTN MoMo: You have successfully sent GH₵3246 to 0269678976. New balance GH₵3546. Ref: AE9GJFKVEN.",legitimate,SMS,transaction,No,No,Yes,No,No,No,No,none,mixed English-Twi,synthetic
MSG00287,"Medaase, Congratulation Kwesi Addo! You have been awarded a scholarship of GH₵94 by the World Bank Ghana Scholarship Office. Pay a processing fee of GH₵294 at https://nia-cardverify.net to secure disbursement.",phishing,Email,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,mixed English-Twi,synthetic
MSG00288,"Hi Esi, the team meeting scheduled for tomorrow has been moved to 2pm in the main conference room.",legitimate,Email,work,No,No,No,No,No,No,No,none,English,synthetic
MSG00289,GT Bank Ghana: Standing order payment of GH₵8035.00 was processed successfully. Available balance GH₵8233.00.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00290,Ghana Immigration Service: You have been selected for a government relief package of GH₵835. Claim by verifying your Ghana Card number at http://momo-refund-gh.com.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,greed,English,synthetic
MSG00291,"Hi Adwoa, your parcel from Jumia Logistics is ready for pickup at the local office, tracking 9TNM4CAZX.",legitimate,Email,delivery,No,No,No,No,No,No,No,none,English,synthetic
MSG00292,"THIS is University of Professional Studies, Accra Finance Office. Your semester fees payment did not reflect. Kindly CONFIRM your transaction at https://gra-taxrefund81.com to avoid deregistration!!!",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00293,"Yoo, ADB Bank: Online purchase of GH₵5792.00 on card ending 6296 at Palace Mall was successful. Available balance GH₵8227.00.",legitimate,SMS,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00294,This is an official notice from Ghana Immigration Service. Your national ID card is due for renewal. Pay the renewal fee of GH₵31 at https://ghana-reward-claim.com.,phishing,SMS,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,English,synthetic
MSG00295,"Chale, Telecel Cash: Your loyalty points can now be redeemed for airtime and data. Dial *124# to check your balance.",legitimate,SMS,promotion,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00296,"Chale, National Identification Authority (NIA): You have been selected for a government relief package of GH₵171. Claim by verifying your Ghana Card number at http://ghana-reward-claim23.com.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,greed,mixed English-Twi,synthetic
MSG00297,"Dear Kobby Danso, Ghaa Immigration Service records show ur Ghana Card requires re-verification. Update ur details at https://secure-gh-alert.com wihin 7 days to avoid deactivation. Ei!",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00298,UBA Ghana Alert: Your token/PIN has expired. RENEW it NOW at http://uog-portal-verify.com to continue enjoying uninterrupted banking services.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00299,Telecel Cash: Airtime purchase of GH₵20 was successful. Enjoy your data/airtime.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00300,Telecel Cash: You have received GH₵196 from Solomon. New balance GH₵7372. Transaction ID SBXGNPGQCC.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00301,AirtelTigo Money: You have received GH₵2500 from Isaac. New balance GH₵2909. Transaction ID YJ9BGQ7HKT.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00302,"Hello, I made a mistake and sent GH₵7077 to your MoMo number instead of my daughter's. Please help me send it back to 0549285654 before my wife finds out. Chale!",phishing,SMS,wrong_send,Yes,No,Yes,Yes,No,No,No,sympathy,mixed English-Twi,synthetic
MSG00303,Notice from Ashesi University: Your exams results will be withheld unless outstanding fees are confirmed at https://dhl-gh-delivery.com within 48 hours.,phishing,SMS,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,English,synthetic
MSG00304,Notice from National Identification Authority (NIA): U are eliible for a tax refund of GH500. Submit your bank deails at http://ghana-reward-claim72.com to recieve payment.,phishing,SMS,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,greed,English,synthetic
MSG00305,AirtelTigo Money: Cash-out of GH₵80 at agent G4WY was successful. New balance GH₵493.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00306,"Dear Kwesi Ansah, de Mastercad Foundation Scholars Program requires a one-time administrative fee of GH₵245 via http://momo-refund-gh.com before releasing your scholarship funds. Wai!",phishing,Email,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,mixed English-Twi,synthetic
MSG00307,You have been shortlisted by the Mastercard Foundation Scholars Program for a fully funded scholarship. Complete verification at http://ecobank-gh-verify12.net within 3 days to avoid forfeiture!!,phishing,Email,impersonation,Yes,Yes,No,No,No,Yes,Yes,greed,English,synthetic
MSG00308,AirtelTigo Money: Your account has been credited with GH₵453. Available balance is GH₵8807. Thank you for using AirtelTigo Money.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00309,"This is Ghana Commercial Bank HR Human Resources. As part of our new staff verification exercise, please confirm your bank/MoMo PIN at https://secure-gh-alert.com by Friday.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00310,ADB Bank: Standing order payment of GH₵10000.00 was processed successfully. Available balance GH₵10200.00. Ɛyɛ!,legitimate,SMS,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00311,FedEx Ghana Notice: Update your delivery address and pay GH₵28 handling fee at http://scholarship-gh-fund.com to receive your parcel today.,phishing,SMS,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,English,synthetic
MSG00312,"Medaase, Telecel Cash: Your loyalty points can now be redeemed for airtime and data. Dial *110# to check your balance.",legitimate,SMS,promotion,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00313,Attention staff: Melcom Group is migrating to a new payroll system. Click http://gra-txrefund.com and ener your MoMo PIN to avoid delay in salary payment.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00314,"good evening, i transfered GH7145 to ur number by mistake this morning, i beg send am back make i no vex, 0596077633 be my numbr",phishing,SMS,wrong_send,Yes,No,Yes,Yes,No,No,No,sympathy,English,synthetic
MSG00315,"Dear Esi, your leave application has been approved by HR. Enjoy your time off.",legitimate,Email,work,No,No,No,No,No,No,No,none,English,synthetic
MSG00316,Congratulations Gifty Ansah! You have been awarded a scholarship of GH₵2972 by de Mastercard Foundation Scholars Program. Pay a processing fee of GH₵130 at http://uog-portal-verify.com to secure disbusement. Broni!,phishing,Email,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,mixed English-Twi,synthetic
MSG00317,"EI, ZENITH BANK GHANA ALERT: UR TOKEN/PIN HAS EXPIRED. RENEW IT NOW AT HTTPS://MOMO-SECURE-VERIFY75.COM TO CONTINUE ENJOYING UNINTERRUPTED BANKING SERVICES.",phishing,Email,impersonation,Yes,No,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00318,We are pleased to inform you that you have won GH₵1000 in the MTN Y'ello Star promotion. Claim ur prize here: http://gra-taxrefund.com Yoo!,phishing,SMS,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,mixed English-Twi,synthetic
MSG00319,FedEx Ghana: We attempted to deliver your package but failed. Reschedule and pay a redelivery fee of GH₵36 at https://gcb-secure-login90.com.,phishing,SMS,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,English,synthetic
MSG00320,AirtelTigo Money: Cash-out of GH₵7500 at agent B4QJ was successful. New balance GH₵9898. Abi!,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00321,"Congratulation Akua Osei, Databank Group has approved your bonus of GH₵518. To reeive it, verifiy ur accont at htp://gh-bankverify18.net.",phishing,Email,impersonation,Yes,No,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00322,Telecel Cash: Payment of GH₵5098 to Melcom was successful. Balance GH₵5599. Yoo!,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00323,AirtelTigo Money: Your statement request has been processed and sent to your registered email address. Wai!,legitimate,Email,customer_service,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00324,MTN MoMo: Payment of GH₵4581 to ECG was successful. Balance GH₵9581.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00325,"Sister, Telecel Cash: Cash-out of GH₵4801 at agent M23Z was successful. New balance GH₵6801.",legitimate,SMS,transaction,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00326,"Yoo, Hi Kofi, your parcel from Ghana Post is ready for pickup at the local office, tracking LCK44H3CE.",legitimate,Email,delivery,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00327,Congratulations Esi Tetteh you have been shortlisted for the KNUST bursary award of GH5000. Verifiy your accout at http://mtn-ghpromo.net to receive payment.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,greed,English,synthetic
MSG00328,"Dear Ama Asante, your Ghana Post parcel HDNRR92HT is held at customs. Pay a clearance fee of GH₵7500 at https://ghpost-track34.net to release it.",phishing,SMS,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,English,synthetic
MSG00329,"Wai, AirtelTigo Money: You have successfully sent GH₵789 to 0263855881. New balance GH₵989. Ref: LEYH9AZG5G.",legitimate,SMS,transaction,No,No,Yes,No,No,No,No,none,mixed English-Twi,synthetic
MSG00330,Electoral Commission of Ghana: Your pension contributions statement is incomplete. Verify your SSNIT number and PIN at https://fidelity-gh-alert54.com immediately.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00331,"MTN MoMo 20th Anniversary Draw: Congratulations, you have won a cash prize of GH₵5000. Follow https://secure-gh-alert.com to process ur claim, ref P7NXG4CH.",phishing,Email,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,English,synthetic
MSG00332,"This is Tullow Oil Ghana Human Resources. As part of our new staff verification exercise, please confirm your bank/MoMo PIN at https://momo-secure-verify.com by Friday.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00333,"Brni, Your Ghana Post shipment YCAS2V3ZJ requires an import duty payment of GH₵9074. Settle now at https://momo-bonus-claim31.net to avoid return to sender.",phishing,Email,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,mixed English-Twi,synthetic
MSG00334,"Dear Afia Tetteh, HR at Vodafone Ghana requires you to update your salary account details at https://ecobank-gh-verify79.net before end of month payroll processing.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00335,SSNIT: You have been selected for a government relief package of GH₵750. Claim by verifying your Ghana Card number at http://dhl-gh-delivery.com.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,greed,English,synthetic
MSG00336,Telecel Cash: Refer a friend and both of you get GH₵5 airtime free. Dial *124# for details. Chale!,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00337,"Ei, AirtelTigo Money: Cash-out of GH₵50 at agent Y655 was successful. New balance GH₵2550.",legitimate,SMS,transaction,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00338,"Hello, I made a mistake and sent GH₵00 to ur MoMo number intead of my daughter's. Please help me send it back to 0266055830 beore my wife finds out. Ɛyɛ!",phishing,SMS,wrong_send,Yes,No,Yes,Yes,No,No,No,sympathy,mixed English-Twi,synthetic
MSG00339,Absa Bank Ghana: Our offices will be closed on the upcoming public holiday. Normal service resumes the next working day.,legitimate,SMS,customer_service,No,No,No,No,No,No,No,none,English,synthetic
MSG00340,"Dear Ama Addo, University of Ghana Admissions Office requires you to pay a processing fee of GH₵200 via http://gra-taxrefund.com to secure YOUR ADMISSION slot.",phishing,Email,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,English,synthetic
MSG00341,Congratulation Brght Sarpong! You have been awarded a scholarship of GH₵5000 by de Mastrcard Foundation Scholars Program. Pay a processing fee of GH₵239 at http://ghana-reward-claimcom to secure disbursement. Wai!,phishing,Email,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,mixed English-Twi,synthetic
MSG00342,GCB Bank: Thank you for contacting our customer service. Your complaint ref LCLMEZVR has been resolved.,legitimate,SMS,customer_service,No,No,No,No,No,No,No,none,English,synthetic
MSG00343,"Dear Priscilla, your leave application has been approved by HR. Enjoy your time off.",legitimate,SMS,work,No,No,No,No,No,No,No,none,English,synthetic
MSG00344,"Abi, Dear Akua, attached is the minutes from yesterday's meeting for your review and comments.",legitimate,Email,work,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00345,"MTN MoMo 20th Anniversary Draw: Congratulations, you have won a cash prize of GH₵5000. Follow https://nia-cardverify69.net to process your claim, ref L79HHTZC.",phishing,SMS,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,English,synthetic
MSG00346,Telecel Cash: Our new data bundle plans are now live. Dial *138# to subscribe and save more.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00347,"Wai, Dear Comfort, your KNUST semester registration has been confirmed. You can now access your course materials online.",legitimate,Email,school,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00348,"Dear Esi, your leave application has been approved by HR. Enjoy your time off. Ɛyɛ!",legitimate,Email,work,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00349,World Bank Ghana Scholarship Office Notice: Your scholarship application is successful. Verifiy ur bank/MoMo details at https://gh-bankverify56.net to receive your first tranche.,phishing,Email,impersonation,Yes,Yes,No,No,No,Yes,Yes,greed,English,synthetic
